body,label
"Hi David, can you confirm the specs for the new server? I’ll place the order once you do.",0
"Your Zoom account has been compromised. Reset your password at [zoom-reset.info].",1
"Dear staff, the cafeteria menu for next week is now posted on the intranet.",0
"You’ve won a free smartwatch! Claim it at [smartwatch-win.xyz] before it’s gone!",1
"Hi Kate, the project deadline has been moved to next Friday. I’ll update the timeline.",0
"Your PayPal account needs attention. Verify your details at [paypal-verify.me].",1
"Hi team, please submit your timesheets by 5 PM today. Reach out with any issues.",0
"Unlock a $50 coupon! Shop now at [coupondeal.live] to redeem your discount.",1
"Hi Ben, can you review the latest wireframes and share your feedback by tomorrow?",0
"Your Gmail account has been accessed from an unknown location. Secure it at [gmail-secure.org].",1
"Dear all, the new employee onboarding session is tomorrow at 9 AM. Zoom link to follow.",0
"Win a $250 gift card! Enter your details at [giftcard-win.co] to claim your prize.",1
"Hi Sophie, can you send the updated pricing sheet? I need it for the client call.",0
"Your account has been flagged for suspicious activity. Verify it at [account-verify.biz].",1
"Reminder: The safety training session is this Thursday at 11 AM in Room 204.",0
"Congratulations! You’re eligible for a free subscription. Claim it at [freesub.live].",1
"Hi Paul, the vendor confirmed delivery for next week. I’ll keep you updated.",0
"Your credit score has dropped! Check it now at [creditcheck.me] to avoid issues.",1
"Hi everyone, the new office layout plan is available for review. Feedback due by Friday.",0
"Act now! Your package is on hold. Confirm delivery at [delivery-confirm.net].",1
"Hi Amy, can you share the analytics report for last month? I need it for the meeting.",0
"Your Facebook account is at risk. Secure it at [facebook-secure.me] to avoid suspension.",1
"Dear team, please join us for the product demo next Monday at 2 PM in the auditorium.",0
"Claim your exclusive discount! Shop at [exclusivedeal.shop] to save 60% today!",1
"Hi Nick, the client requested a revision to the logo. Can we discuss this afternoon?",0
"Your account requires immediate verification. Click [verify-now.biz] to avoid deactivation.",1
"Reminder: The diversity training is tomorrow at 1 PM. Please complete the pre-work.",0
"You’ve been selected for a $1000 prize! Claim it at [prizeclaim.xyz] before it expires.",1
"Hi Claire, can you confirm the headcount for the event? I’ll finalize the catering.",0
"Your bank account needs verification. Click [bank-verify.io] to secure your funds.",1
"Hi all, the quarterly report is now available on the shared drive. Please review it.",0
"Unlock a free gift! Visit [freegift.live] and enter your details to claim it now.",1
"Hi Steve, can you approve the purchase order for the new equipment by tomorrow?",0
"Your subscription is about to expire. Renew it at [renew-subscription.co] to stay active.",1
"Dear employees, the new benefits package details are now available on the HR portal.",0
"Win a luxury vacation! Enter now at [luxurywin.co] to claim your dream trip.",1
"Hi Megan, the client meeting has been rescheduled to next Tuesday at 10 AM.",0
