email_body,label
"Dear Citizen,

You have been approved for a COVID-19 relief grant from the government. To receive your funds, you need to confirm your banking information.

Please click here to securely provide your details: http://gov-relief-fund-program.org/claim

Act quickly, as funds are limited.

Sincerely,
Federal Grant Department",1
"Dear Customer,

A critical security vulnerability has been identified in your model of internet router. It is essential that you update your firmware immediately to prevent unauthorized access.

Download the update here: http://router-firmware-update.net/download

Instructions are included in the download. Failure to update may expose your network.

Thank you,
Your ISP Technical Support",1
"Hi [Your Name],

Thank you for your order of a new iPhone 15 Pro Max for $199.99! Your order #AMZ98765P is being processed.

If you did NOT make this purchase or believe this is an error, please click here immediately to cancel and verify your account: http://amazon-order-cancellation-support.com/verify

This is an automated message.

Amazon Customer Service",1
"Hi User,

The file '[Urgent Report Q2.docx]' you tried to share via Dropbox exceeds your current storage limit.

To successfully share this file, please upgrade your Dropbox account by clicking here: http://dropbox-storage-upgrade.com/gopremium

Alternatively, the file will be deleted in 48 hours.

The Dropbox Team",1
"Dear Google User,

We detected a sign-in to your Google Account from an unrecognized device. Was this you?

Location: Vietnam
Time: May 7, 2025, 02:15 PM

If this wasn't you, please secure your account immediately by clicking this link: http://google.secure-activity-check.com/review

If you don't act, your account may remain at risk.

Sincerely,
The Google Accounts Team",1
"Dear Business Owner,

URGENT: Your domain name [yourdomain.com] is set to expire in the next 24 hours! Failure to renew will result in website downtime and potential loss of your domain to other bidders.

Renew immediately to avoid service interruption: http://domain-renewal-service-fast.com/renew

This is your final warning.

Domain Registry Services",1
"Hi there,

Good news! [Friend's Name You Might Know] has sent you an Interac e-Transfer.

Amount: $250.00 CAD
Message: For dinner last week!

To deposit the funds, click here and select your bank: http://interac-etransfer-secure-deposit.ca/accept

The funds will expire if not deposited soon.

Thanks,
Interac Notification",1
"Hi [Your Name],

You appeared in 5 searches this week and have 1 new profile view. Someone also sent you a message.

To see who viewed your profile and read your message, log in now: http://linkedin.my-secure-profile-access.com/inbox

Stay connected,
The LinkedIn Team",1
"Dear Customer,

Thank you for your continued trust in Norton. Your annual subscription for Norton 360 Deluxe has been automatically renewed for $99.99. This amount will be debited from your account within 24 hours.

If you did not authorize this renewal or wish to cancel and claim a refund, please call our billing department immediately at: 1-800-NOT-REAL (Toll-Free).

You can also review your invoice here: http://norton-renewal-customer-portal.com/invoice

Thank you,
Norton Billing Support",1
"Official IRS Communication

You are eligible for a tax refund of $875.30. To process your refund, you must verify your personal information.

Click here to securely submit your details: http://irs-gov-taxrefund-online.com/submit

Please complete this within 48 hours to avoid delays.

Internal Revenue Service",1
"Dear User,

We've detected a problem with your account. Please log in to fix this issue: http://generic-account-fix.com/login

Thanks,
Support",0
"Hi,

Just wanted to see how you were doing. Let me know if you need anything.

Best,
A Friend",0
"Hi Customer,

Your bill for this month is ready to view. Please log in to your portal: [Link to legitimate portal]

Thanks,
Billing Dept",0
"Hello,

Following up on our chat earlier. I've attached the notes.

[Attachment: notes.docx]

Regards,
Me",0
"Hi,

We have some exciting news to share with you! Check our website for more details: [Link to legitimate website]

The Team",0
"Dear Valued Customer,

We have detected suspicious activity on your account originating from an IP address in North Korea. To prevent unauthorized access, your account has been temporarily locked. You MUST verify your identity within the next 2 hours or your account will be permanently disabled and legal action may be pursued for negligence.

Click this secure link IMMEDIATELY: http://secure-validation-required-now-trustus.com/verify2FA

Do NOT delay, this is your ONLY warning.

Sincerely,
Global Security Taskforce United",1
"AMAZING NEWS!

Your email address was randomly selected in our monthly Super Tech Giveaway! You are the lucky winner of a brand new, sealed iPhone 16 Pro Max (1TB)!

To claim your FREE prize, you only need to cover a small shipping and handling fee of $1.99. This is a limited-time verification step.

Click here to provide shipping details and pay the fee: http://youwon-iphone16-claimnow-superfast.net/winnercircle

Hurry, this offer expires in 60 minutes! Don't miss out on your new iPhone!

Best Regards,
The Super Tech Giveaway Team",1
"Security Alert,

An unrecognized device has attempted to log into your financial portal.

Device: Unknown Browser on Windows
Location: Lagos, Nigeria (IP: 197.210.55.12)
Time: May 07, 2025, 14:30 GMT

If this was not you, please click the link below IMMEDIATELY to secure your account and review activity. You have 15 minutes before automatic suspension.

SECURE LOGIN: http://financial-portal-alert-login-pages.com/secure_access

Ignoring this warning could lead to severe financial loss.

Fraud Prevention Services",1
"Dear Customer,

We were unable to process the payment for your recent order #789123 for the 'Premium Software Suite - 1 Year Subscription'. Your access will be revoked if payment is not updated.

Please update your billing information immediately by clicking here: http://update-your-billing-info-securely-now.com/myaccount

We value your business.

Subscription Services",1
"Dear Microsoft User,

This is an automated notification from the Microsoft Security Center. We have detected multiple failed login attempts on your account (user@example.com) originating from various international locations. This indicates a high probability that your password has been compromised.

For your immediate safety, we have initiated a temporary hold on your account. To lift this restriction and prevent permanent deactivation, you must re-verify your account credentials and security questions within the next 12 hours.

Please use the following secure Microsoft portal:
http://microsoft-account-resolve-issue-security.com/verification-process

Failure to comply will be interpreted as confirmation of unauthorized activity, and your account will be scheduled for permanent deletion to protect our network integrity. This action may also impact other linked Microsoft services.

Reference Case ID: #MSF-987654321

Thank you for your prompt cooperation.
Microsoft Security Center Operations",1
"Hi,

We noticed a new login to your account. If this wasn't you, please secure your account.

[Link to legitimate security page]

Thanks,
Security Team",0
"Hi,

You've successfully subscribed to our newsletter!

Thanks,
The Team",0
"Hi [Customer Name],

Great news! Your order #[Order Number] has shipped.

Track it here: [Legitimate Tracking Link]

Best,
Shipping Co.",0
"Hey,

Just seeing if you're free for a call later this week?

Cheers,
[Your Name]",0
"Dear Team,

Could you please provide an update on [Project Name]?

Thanks,
Manager",0
"Hello, I have an urgent business proposal for you that requires immediate attention. Please provide your WhatsApp number to discuss further. This is highly confidential. Regards, Mr. A. B. Consultant.",1
"Your computer has been infected with a virus! Call this number NOW to speak to a Microsoft certified technician to remove it: 1-888-FAKE-SUPPORT. Failure to call may result in complete data loss.",1
"Greetings, I am a Nigerian prince and I need your assistance to transfer $10,000,000 USD out of my country. If you help me, I will give you 20% of the sum. Please send me your bank account details so we can proceed. Time is of the essence. Prince Adebayo.",1
"This is an official notification from your bank. We are updating our security systems and require all customers to confirm their login details. Click here: http://mytotallyrealbank-update.com/loginpage to avoid account suspension. Your security is our priority.",1
"You've received a new voice message. Click the attachment to listen. [Attachment: VoiceMessage.zip.exe]. This message will be deleted in 24 hours if not accessed.",1
"Hi, this is [Name you might know]. I'm stuck abroad and lost my wallet. Can you please wire me $500 so I can get a flight home? I'll pay you back as soon as I return. Please send to this Western Union account: [Fake Account Details]. It's an emergency!",1
"Dear Netflix User, your payment was declined. To keep enjoying your favorite shows, please update your payment information here: http://netflix-account-details-verify.com. If you don't update within 3 days, your service will be cut off.",1
"A tax refund of $650.22 is waiting for you. To claim it, you must fill out the attached form [Attachment: Tax_Refund_Form.docm] with your social security number and bank details and email it back. This is an official communication from the Tax Office.",1
"Your iCloud storage is almost full! To avoid losing your photos and files, click here to upgrade your plan for a special discounted price: http://apple-icloud-storage-deals.com. Offer valid for today only!",1
"We've detected unusual purchase activity on your Amazon account for a TV shipped to an unknown address. If this wasn't you, click here IMMEDIATELY to cancel the order and verify your details: http://amazon-security-alert-resolution.com/myorders. Don't wait, or the order will be processed!",1
"This is a message from technical support. Your email account settings are outdated. You need to update them by clicking this link and entering your current password: http://mailserver-settings-update.net/configure. This will prevent service interruption.",0
"Please find attached the minutes from our last meeting. Let me know if you have any revisions. Thanks, Admin Assistant.",0
"Can you send me the report by EOD? Thanks, Boss.",0
"Our company is conducting an employee satisfaction survey. Please take a few minutes to complete it here: [Link to legitimate internal survey]. Your feedback is valuable.",0
"Just a reminder about the team lunch tomorrow at 1 PM at 'The Usual Spot'. Hope to see you there!",0
"Hello, this is a notification that your package with tracking number ZYX98765 has been delivered. If you did not receive it, please contact customer support. Thank you.",0
"Dear [Employee Name], please don't forget to submit your timesheet by 5 PM today. Regards, Payroll.",0
"Your library books are due for return next week. You can renew them online here: [Link to legitimate library portal].",0
"Thanks for signing up for our webinar on 'Advanced Excel Tips'. A confirmation email with the join link has been sent to your inbox.",0
"I've updated the shared document 'Project Plan Q3' with my comments. Please take a look when you have a chance. [Link to legitimate shared document]",0
"Dear User, We've detected an attempt to log into your account from a new device. To ensure it was you, please enter the code 123456 on the login screen if prompted. If this wasn't you, please secure your account immediately using this link: http://account-update-required-immediately.com/security - Service Admin",1
"You have been selected to participate in a confidential survey and will be compensated $50 for your time. Click here to begin: http://short.url/rewardsurvey - Market Research Inc.",1
"Hello, Your invoice #INV-2025-987 is overdue. Please remit payment of $75.99 immediately to avoid service interruption. Pay here: http://quickpay-billsonline.com/paynow - Billing Department",1
"URGENT: Your Facebook account has been reported for suspicious activity. To prevent permanent deletion, verify your identity now by clicking this link and logging in: http://facebook-security-checkpoint-real.com/verify - The Facebook Team",1
"A large file has been shared with you via WeTransfer: 'Company_Financials_Q1_CONFIDENTIAL.zip'. Download it now using this link: http://wetransfer-secure-downloads-center.com/downloadid=xyz123. Link expires in 24 hours. - Sent via WeTransfer",1
"Hi, I found your profile on a professional networking site and have a business opportunity I think you'd be interested in. It requires a small upfront investment but promises huge returns. Are you free for a call to discuss? Send me your phone number. Best, International Investor.",1
"Your bank account has been flagged for unusual transactions. Please call our fraud department immediately at 1-800-VERY-SUSPICIOUS to verify your recent activity. Do not ignore this message.",1
"CONGRATULATIONS! You are one of 10 lucky people to win a free cruise to the Bahamas! To claim your ticket, simply provide your credit card details to cover port taxes and fees ($49.99) here: http://freecruise-realdeal-totally.com/claimticket. Bon Voyage!",1
"Dear Customer, our records show your software license for 'Essential Tools Pro' is expiring. Renew now at a 50% discount! Click here: http://software-renewal-deals-online.net/renew. This offer is only for today!",1
"A security update is required for your online shopping account. Please log in here: http://retail-securelogin-portal.com/update to apply the patch and ensure your payment information is safe. Failure to do so may expose your data. - Retail Security Team",1
